fact_id,unique_id,time_id,location_id,indicator_key,batch_id,data_value
655,166828,18,13,5,1,18.39
656,166859,18,59,5,1,8.03
657,221864,18,68,6,1,34.28
658,166824,18,63,5,1,15.7
659,221876,18,99,6,1,32.28
660,177904,18,101,4,1,10.41
661,176029,18,116,5,1,36.74
662,166830,18,44,5,1,19.35
663,166846,18,21,5,1,20.2
664,166806,18,56,5,1,33.13
665,166818,18,9,5,1,18.82
666,216467,18,17,6,1,31.48
667,216605,18,46,6,1,34.95
668,177916,18,137,4,1,11.44
669,166825,18,28,5,1,19.46
670,221858,18,70,6,1,36.6
671,172180,18,69,5,1,16.65
672,219974,18,2,6,1,33.89
673,177932,18,129,4,1,9.41
674,222632,18,127,6,1,31.06
675,173710,18,69,4,1,10.2
676,177923,18,123,4,1,11.18
677,169507,18,54,4,1,9.72
678,177921,18,135,4,1,11.54
679,173734,18,89,4,1,11.02
680,216395,18,49,6,1,33.77
681,176033,18,123,5,1,18.77
682,216611,18,50,6,1,40.4
683,166836,18,11,5,1,17.0
684,222596,18,128,6,1,33.3
685,176012,18,117,5,1,19.39
686,166834,18,6,5,1,16.03
687,222524,18,111,6,1,32.25
688,222428,18,108,6,1,33.42
689,176019,18,104,5,1,12.43
690,173726,18,90,4,1,9.61
691,166831,18,57,5,1,17.21
692,179585,18,3,4,1,11.85
693,169491,18,11,4,1,10.2
694,169494,18,51,4,1,9.9
695,179166,18,65,4,1,10.31
696,169509,18,34,4,1,9.98
697,222404,18,122,6,1,33.72
698,176023,18,138,5,1,18.91
699,216377,18,26,6,1,32.89
700,169460,18,39,4,1,14.8
701,221798,18,84,6,1,35.09
702,221882,18,97,6,1,32.66
703,169495,18,12,4,1,10.51
704,177896,18,125,4,1,10.23
705,222470,18,134,6,1,32.29
706,166844,18,64,5,1,18.71
707,172188,18,76,5,1,21.24
708,221828,18,67,6,1,32.12
709,221954,18,95,6,1,26.81
710,222506,18,140,6,1,32.28
711,216389,18,36,6,1,33.53
712,177909,18,104,4,1,9.95
713,177902,18,117,4,1,11.69
714,176020,18,102,5,1,14.96
715,172186,18,97,5,1,18.91
716,221816,18,80,6,1,32.73
717,216515,18,12,6,1,33.19
718,172196,18,90,5,1,14.32
719,216371,18,30,6,1,33.02
720,172193,18,87,5,1,17.24
721,179358,18,1,5,1,17.02
722,166855,18,46,5,1,14.35
723,176008,18,126,5,1,16.09
724,219986,18,4,6,1,34.5
725,176036,18,100,5,1,14.59
726,177913,18,138,4,1,10.45
727,222542,18,106,6,1,26.0
728,222434,18,119,6,1,33.23
729,166822,18,58,5,1,15.29
730,222560,18,135,6,1,28.41
731,216311,18,56,6,1,25.46
732,166816,18,30,5,1,20.36
733,176034,18,139,5,1,18.85
734,169501,18,21,4,1,10.47
735,173712,18,70,4,1,9.95
736,177914,18,105,4,1,10.85
737,222464,18,112,6,1,33.97
738,222530,18,137,6,1,30.17
739,216443,18,13,6,1,32.9
