unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,year,month,quarter,batch_id,indicator_category
172728,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,210,Coney Island - Sheepshead Bay,Annual Average 2013,2012-12-01,16.36,2012,12,4,1,Air Quality Indicator
171704,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,206,Borough Park,Winter 2012-13,2012-12-01,25.67,2012,12,4,1,Air Quality Indicator
173229,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,201,Greenpoint,Winter 2012-13,2012-12-01,11.63,2012,12,4,1,Air Quality Indicator
175433,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Winter 2012-13,2012-12-01,22.54,2012,12,4,1,Air Quality Indicator
171715,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,West Queens,Winter 2012-13,2012-12-01,26.15,2012,12,4,1,Air Quality Indicator
167776,375,Nitrogen dioxide (NO2),Mean,ppb,CD,308,Crown Heights and Prospect Heights (CD8),Annual Average 2013,2012-12-01,22.84,2012,12,4,1,Air Quality Indicator
174267,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,405,Ridgewood - Forest Hills,Annual Average 2013,2012-12-01,8.51,2012,12,4,1,Air Quality Indicator
178578,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,205,Sunset Park,Annual Average 2013,2012-12-01,9.12,2012,12,4,1,Air Quality Indicator
171709,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Winter 2012-13,2012-12-01,27.35,2012,12,4,1,Air Quality Indicator
168661,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,308,Crown Heights and Prospect Heights (CD8),Winter 2012-13,2012-12-01,10.37,2012,12,4,1,Air Quality Indicator
171726,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502,Northern SI,Winter 2012-13,2012-12-01,21.87,2012,12,4,1,Air Quality Indicator
178569,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,103,Fordham - Bronx Pk,Annual Average 2013,2012-12-01,9.06,2012,12,4,1,Air Quality Indicator
171702,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,Winter 2012-13,2012-12-01,25.3,2012,12,4,1,Air Quality Indicator
170400,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,101,Financial District (CD1),Annual Average 2013,2012-12-01,11.06,2012,12,4,1,Air Quality Indicator
177319,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,206,Borough Park,Winter 2012-13,2012-12-01,10.14,2012,12,4,1,Air Quality Indicator
171707,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,209,Bensonhurst - Bay Ridge,Winter 2012-13,2012-12-01,24.26,2012,12,4,1,Air Quality Indicator
177343,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409,Southeast Queens,Winter 2012-13,2012-12-01,9.27,2012,12,4,1,Air Quality Indicator
176708,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404,Bayside - Little Neck,Annual Average 2013,2012-12-01,16.41,2012,12,4,1,Air Quality Indicator
177312,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,106,High Bridge - Morrisania,Winter 2012-13,2012-12-01,12.26,2012,12,4,1,Air Quality Indicator
167758,375,Nitrogen dioxide (NO2),Mean,ppb,CD,202,Hunts Point and Longwood (CD2),Annual Average 2013,2012-12-01,21.27,2012,12,4,1,Air Quality Indicator
173227,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,103,Fordham - Bronx Pk,Winter 2012-13,2012-12-01,11.27,2012,12,4,1,Air Quality Indicator
165994,375,Nitrogen dioxide (NO2),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Winter 2012-13,2012-12-01,23.09,2012,12,4,1,Air Quality Indicator
168666,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,313,Coney Island (CD13),Winter 2012-13,2012-12-01,9.67,2012,12,4,1,Air Quality Indicator
168684,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Winter 2012-13,2012-12-01,9.29,2012,12,4,1,Air Quality Indicator
178600,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,406,Fresh Meadows,Annual Average 2013,2012-12-01,8.21,2012,12,4,1,Air Quality Indicator
