unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,year,month,quarter,indicator_category
874822,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,401,Long Island City and Astoria (CD1),Summer 2023,2023-06-01,9.218834383,2023,6,2,Air Quality Indicator
876981,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,503,Willowbrook,Summer 2023,2023-06-01,8.087520711,2023,6,2,Air Quality Indicator
876912,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Summer 2023,2023-06-01,12.91683936,2023,6,2,Air Quality Indicator
877158,375,Nitrogen dioxide (NO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Summer 2023,2023-06-01,11.49641693,2023,6,2,Air Quality Indicator
874347,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,105,Crotona -Tremont,Summer 2023,2023-06-01,9.367923944,2023,6,2,Air Quality Indicator
876990,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,102,Northeast Bronx,Summer 2023,2023-06-01,11.62451231,2023,6,2,Air Quality Indicator
878245,386,Ozone (O3),Mean,ppb,UHF42,103,Fordham - Bronx Pk,Summer 2023,2023-06-01,32.31051756,2023,6,2,Air Quality Indicator
876927,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,305,Upper East Side,Summer 2023,2023-06-01,15.94308836,2023,6,2,Air Quality Indicator
877266,375,Nitrogen dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),Summer 2023,2023-06-01,7.724766395,2023,6,2,Air Quality Indicator
878210,386,Ozone (O3),Mean,ppb,UHF42,410,Rockaways,Summer 2023,2023-06-01,43.33287409,2023,6,2,Air Quality Indicator
878136,386,Ozone (O3),Mean,ppb,CD,406,Rego Park and Forest Hills (CD6),Summer 2023,2023-06-01,35.68088238,2023,6,2,Air Quality Indicator
876894,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,205,Sunset Park,Summer 2023,2023-06-01,14.78195865,2023,6,2,Air Quality Indicator
877056,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,407,Southwest Queens,Summer 2023,2023-06-01,11.94777145,2023,6,2,Air Quality Indicator
874380,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,210,Coney Island - Sheepshead Bay,Summer 2023,2023-06-01,8.334285294,2023,6,2,Air Quality Indicator
877209,375,Nitrogen dioxide (NO2),Mean,ppb,CD,316,Brownsville (CD16),Summer 2023,2023-06-01,13.2820744,2023,6,2,Air Quality Indicator
876888,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,Summer 2023,2023-06-01,12.30403871,2023,6,2,Air Quality Indicator
877128,375,Nitrogen dioxide (NO2),Mean,ppb,CD,201,Mott Haven and Melrose (CD1),Summer 2023,2023-06-01,14.89235269,2023,6,2,Air Quality Indicator
878236,386,Ozone (O3),Mean,ppb,UHF42,205,Sunset Park,Summer 2023,2023-06-01,34.50967942,2023,6,2,Air Quality Indicator
877053,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,405,Ridgewood - Forest Hills,Summer 2023,2023-06-01,12.71702853,2023,6,2,Air Quality Indicator
877077,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2023,2023-06-01,10.0595772,2023,6,2,Air Quality Indicator
878115,386,Ozone (O3),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),Summer 2023,2023-06-01,35.69351113,2023,6,2,Air Quality Indicator
878250,386,Ozone (O3),Mean,ppb,Borough,3,Manhattan,Summer 2023,2023-06-01,30.17314447,2023,6,2,Air Quality Indicator
877215,375,Nitrogen dioxide (NO2),Mean,ppb,CD,318,Flatlands and Canarsie (CD18),Summer 2023,2023-06-01,12.15486597,2023,6,2,Air Quality Indicator
874912,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,309,South Crown Heights and Lefferts Gardens (CD9),Summer 2023,2023-06-01,8.65103668,2023,6,2,Air Quality Indicator
876963,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,Southwest Queens,Summer 2023,2023-06-01,11.94701212,2023,6,2,Air Quality Indicator
874858,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Summer 2023,2023-06-01,8.60642687,2023,6,2,Air Quality Indicator
874535,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,105106107,South Bronx,Summer 2023,2023-06-01,9.409821191,2023,6,2,Air Quality Indicator
874900,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,305,East New York and Starrett City (CD5),Summer 2023,2023-06-01,8.832348602,2023,6,2,Air Quality Indicator
874891,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,302,Fort Greene and Brooklyn Heights (CD2),Summer 2023,2023-06-01,9.189253309,2023,6,2,Air Quality Indicator
877137,375,Nitrogen dioxide (NO2),Mean,ppb,CD,204,Highbridge and Concourse (CD4),Summer 2023,2023-06-01,14.04503059,2023,6,2,Air Quality Indicator
874383,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,209,Bensonhurst - Bay Ridge,Summer 2023,2023-06-01,8.502404761,2023,6,2,Air Quality Indicator
878183,386,Ozone (O3),Mean,ppb,UHF34,405,Ridgewood - Forest Hills,Summer 2023,2023-06-01,35.74608194,2023,6,2,Air Quality Indicator
878151,386,Ozone (O3),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Summer 2023,2023-06-01,29.62674459,2023,6,2,Air Quality Indicator
878153,386,Ozone (O3),Mean,ppb,CD,206,Belmont and East Tremont (CD6),Summer 2023,2023-06-01,32.73465101,2023,6,2,Air Quality Indicator
878201,386,Ozone (O3),Mean,ppb,UHF34,201,Greenpoint,Summer 2023,2023-06-01,33.7542222,2023,6,2,Air Quality Indicator
876972,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,Summer 2023,2023-06-01,6.471941886,2023,6,2,Air Quality Indicator
878228,386,Ozone (O3),Mean,ppb,UHF42,302,Central Harlem - Morningside Heights,Summer 2023,2023-06-01,31.47180591,2023,6,2,Air Quality Indicator
876918,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,302,Central Harlem - Morningside Heights,Summer 2023,2023-06-01,13.24169233,2023,6,2,Air Quality Indicator
878166,386,Ozone (O3),Mean,ppb,CD,105,Midtown (CD5),Summer 2023,2023-06-01,28.43469638,2023,6,2,Air Quality Indicator
877002,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,202,Downtown - Heights - Slope,Summer 2023,2023-06-01,14.02065338,2023,6,2,Air Quality Indicator
877035,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Summer 2023,2023-06-01,13.24164375,2023,6,2,Air Quality Indicator
877218,375,Nitrogen dioxide (NO2),Mean,ppb,CD,401,Long Island City and Astoria (CD1),Summer 2023,2023-06-01,14.86324093,2023,6,2,Air Quality Indicator
